"","Date","Value"
"311",2020-04-13,6891.6
"312",2020-04-12,6873.24
"313",2020-04-11,7293.69
"314",2020-04-10,7365.03
"315",2020-04-09,7205.55
"316",2020-04-08,7343.2
"317",2020-04-07,6777.44
"318",2020-04-06,6871.69
"319",2020-04-05,6741.67
"320",2020-04-04,6809.11
"321",2020-04-03,6652.87
"322",2020-04-02,6428.28
"323",2020-04-01,6405.29
"324",2020-03-31,5885.41
"325",2020-03-30,6260.95
"326",2020-03-29,6369.09
"327",2020-03-28,6763.75
"328",2020-03-27,6698.46
"329",2020-03-26,6768.49
"330",2020-03-25,6502.16
"331",2020-03-24,5822.62
"332",2020-03-23,6189.85
"333",2020-03-22,6226.44
"334",2020-03-21,6195.2
"335",2020-03-20,5410.23
"336",2020-03-19,5357.61
"337",2020-03-18,5026.35
"338",2020-03-17,5348.44
"339",2020-03-16,5166.26
"340",2020-03-15,5609.03
"341",2020-03-14,4830.21
"342",2020-03-13,7936.65
"343",2020-03-12,7885.46
"344",2020-03-11,7931.94
"345",2020-03-10,8039.38
"346",2020-03-09,8898.63
"347",2020-03-08,9155.89
"348",2020-03-07,9067.39
"349",2020-03-06,8758.9
"350",2020-03-05,8754.34
"351",2020-03-04,8912.82
"352",2020-03-03,8534.17
"353",2020-03-02,8531.42
"354",2020-03-01,8712.35
"355",2020-02-29,8804.72
"356",2020-02-28,8785.52
"357",2020-02-27,9309.15
"358",2020-02-26,9663.75
"359",2020-02-25,9989.39
"360",2020-02-24,9669.63
"361",2020-02-23,9696.58
"362",2020-02-22,9606.86
"363",2020-02-21,9604.72
"364",2020-02-20,10180.65
"365",2020-02-19,9703.93
"366",2020-02-18,9937.67
"367",2020-02-17,9904.17
"368",2020-02-16,10368.53
"369",2020-02-15,10242.43
"370",2020-02-14,10354.3
"371",2020-02-13,10275.38
"372",2020-02-12,9854.79
"373",2020-02-11,10162.41
"374",2020-02-10,9907.12
"375",2020-02-09,9807.54
"376",2020-02-08,9755.66
"377",2020-02-07,9614.9
"378",2020-02-06,9614.9
"379",2020-02-05,9162.14
"380",2020-02-04,9314.56
"381",2020-02-03,9378.09
"382",2020-02-02,9333.77
"383",2020-02-01,9502.37
"384",2020-01-31,9279.81
"385",2020-01-30,9385.69
"386",2020-01-29,8895.78
"387",2020-01-28,8588.42
"388",2020-01-27,8327.36
"389",2020-01-26,8428.17
"390",2020-01-25,8388.11
"391",2020-01-24,8658.94
"392",2020-01-23,8722.26
"393",2020-01-22,8626.47
"394",2020-01-21,8703.36
"395",2020-01-20,8910.85
"396",2020-01-19,8900.34
"397",2020-01-18,8722.03
"398",2020-01-17,8813.89
"399",2020-01-16,8842.42
"400",2020-01-15,8105.24
"401",2020-01-14,8173.97
"402",2020-01-13,8021.49
"403",2020-01-12,8184.66
"404",2020-01-11,7817.92
"405",2020-01-10,8042.65
"406",2020-01-09,8165.47
"407",2020-01-08,7759.24
"408",2020-01-07,7351.57
"409",2020-01-06,7347.89
"410",2020-01-05,7326.35
"411",2020-01-04,6944.33
"412",2020-01-03,7175.68
"413",2020-01-02,7168.31
"414",2020-01-01,7219.6
"415",2019-12-31,7385.36
"416",2019-12-30,7301.07
"417",2019-12-29,7243.93
"418",2019-12-28,7194.4
"419",2019-12-27,7192.72
"420",2019-12-26,7250.69
"421",2019-12-25,7322.08
"422",2019-12-24,7514.41
"423",2019-12-23,7143.2
"424",2019-12-22,7190.17
"425",2019-12-21,7150.86
"426",2019-12-20,7284.29
"427",2019-12-19,6612.12
"428",2019-12-18,6879.54
"429",2019-12-17,7111.14
"430",2019-12-16,7067.74
"431",2019-12-15,7251.87
"432",2019-12-14,7189.16
"433",2019-12-13,7202.31
"434",2019-12-12,7220.76
"435",2019-12-11,7337.42
"436",2019-12-10,7522.39
"437",2019-12-09,7504.83
"438",2019-12-08,7547.19
"439",2019-12-07,7395.97
"440",2019-12-06,7192.85
"441",2019-12-05,7296.77
"442",2019-12-04,7309.59
"443",2019-12-03,7402.69
"444",2019-12-02,7557.72
"445",2019-12-01,7757.47
"446",2019-11-30,7431
"447",2019-11-29,7523.83
"448",2019-11-28,7163.63
"449",2019-11-27,7130.25
"450",2019-11-26,6907.4
"451",2019-11-25,7324.03
"452",2019-11-24,7286.35
"453",2019-11-23,7617.07
"454",2019-11-22,8081.81
"455",2019-11-21,8120.8
"456",2019-11-20,8175.99
"457",2019-11-19,8503.93
"458",2019-11-18,8482.7
"459",2019-11-17,8457.69
"460",2019-11-16,8632.32
"461",2019-11-15,8762.42
"462",2019-11-14,8801.52
"463",2019-11-13,8717.81
"464",2019-11-12,9037.12
"465",2019-11-11,8809.41
"466",2019-11-10,8766.04
"467",2019-11-09,9204.24
"468",2019-11-08,9343.34
"469",2019-11-07,9310.19
"470",2019-11-06,9418.05
"471",2019-11-05,9206.16
"472",2019-11-04,9301.18
"473",2019-11-03,9252.99
"474",2019-11-02,9147.98
"475",2019-11-01,9164.62
"476",2019-10-31,9433.35
"477",2019-10-30,9218.76
"478",2019-10-29,9551.54
"479",2019-10-28,9259.8
"480",2019-10-27,8666.79
"481",2019-10-26,7431.88
"482",2019-10-25,7469.56
"483",2019-10-24,8026.76
"484",2019-10-23,8222.52
"485",2019-10-22,8231.06
"486",2019-10-21,7960.04
"487",2019-10-20,7954.15
"488",2019-10-19,8076.78
"489",2019-10-18,8002.51
"490",2019-10-17,8162.16
"491",2019-10-16,8353.54
"492",2019-10-15,8283.76
"493",2019-10-14,8308.01
"494",2019-10-13,8269.73
"495",2019-10-12,8586.9
"496",2019-10-11,8587.92
"497",2019-10-10,8190
"498",2019-10-09,8212.02
"499",2019-10-08,7869.74
"500",2019-10-07,8147.69
"501",2019-10-06,8155.48
"502",2019-10-05,8236.17
"503",2019-10-04,8382.03
"504",2019-10-03,8322.92
"505",2019-10-02,8307.74
"506",2019-10-01,8056.74
"507",2019-09-30,8225
"508",2019-09-29,8193.9
"509",2019-09-28,8055.64
"510",2019-09-27,8432.23
"511",2019-09-26,8553.61
"512",2019-09-25,9683.38
"513",2019-09-24,10033.05
"514",2019-09-23,9979.49
"515",2019-09-22,10173.11
"516",2019-09-21,10275.88
"517",2019-09-20,10157.59
"518",2019-09-19,10190.36
"519",2019-09-18,10265.63
"520",2019-09-17,10310.43
"521",2019-09-16,10361.33
"522",2019-09-15,10363.9
"523",2019-09-14,10420.16
"524",2019-09-13,10159.32
"525",2019-09-12,10101.03
"526",2019-09-11,10313.66
"527",2019-09-10,10406.31
"528",2019-09-09,10487.21
"529",2019-09-08,10317.47
"530",2019-09-07,10577.8
"531",2019-09-06,10584.16
"532",2019-09-05,10621.29
"533",2019-09-04,10386.64
"534",2019-09-03,9769.79
"535",2019-09-02,9600.9
"536",2019-09-01,9577.99
"537",2019-08-31,9484.55
"538",2019-08-30,9717.82
"539",2019-08-29,10171.95
"540",2019-08-28,10360.28
"541",2019-08-27,10135.06
"542",2019-08-26,10143.8
"543",2019-08-25,10405.81
"544",2019-08-24,10111.98
"545",2019-08-23,10129.4
"546",2019-08-22,10760.56
"547",2019-08-21,10917.26
"548",2019-08-20,10317.6
