Time,bitfinex,bitflyer,bithumb,bitstamp,btcchina,coinbase,huobi,kraken,okcoin,others
2018-09-06 00:00:00 UTC,53002.5171583797,13994.47917448,38343.95813205,17900.35876611,,21930.6323371502,,19807.37885276,,24146.544266316992
2018-09-07 00:00:00 UTC,20748.83818417,7577.13757962995,36998.2154444497,7915.79048231,,9792.95037594996,,8169.52686795999,,15030.720830728776
2018-09-08 00:00:00 UTC,21852.7537752001,5787.45540252995,35181.5033652098,5636.60549878,,8994.23852793995,,7635.48392723999,,13818.272707056445
2018-09-09 00:00:00 UTC,16462.59491812,5447.85447077996,36382.2153410199,5056.1261584,,7345.61023688996,,6425.73876341,,13558.505933790022
2018-09-10 00:00:00 UTC,14490.24858972,5506.45829152998,34684.5526606998,6631.89475738,,8188.90507686998,,7191.70137609,,15957.82076287775
2018-09-11 00:00:00 UTC,16610.20964301,5993.54919246997,34980.5980639301,8583.74089465,,8990.62187980996,,7727.22961673,,18603.02001128619
2018-09-12 00:00:00 UTC,16194.12267324,4771.82184688,35737.4483015099,5667.40619044,,8800.04995164997,,6739.0308529,,17093.656082708203
2018-09-13 00:00:00 UTC,19246.7465317,6826.08928871996,34687.39996211,8547.68054079,,11418.02993473,,11430.85921642,,17476.07550440678
2018-09-14 00:00:00 UTC,16375.39628121,6065.31296824997,34131.6265054999,5667.84607636,,9081.87034288997,,7953.43527447,,17223.029459797453
2018-09-15 00:00:00 UTC,8359.64217690999,3200.36535246,34032.1002588098,1718.56298767,,4044.33382357,,2566.16390648,,9411.182323842106
2018-09-16 00:00:00 UTC,8728.54934508,2439.91906215,33937.4648721797,1441.35681678,,4114.56918003999,,3124.04651105,,9125.240934748583
2018-09-17 00:00:00 UTC,23545.7189651301,7084.35105397994,34573.2374397701,5942.80210053,,11024.25276383,,9920.29003530999,,14987.469191939213
2018-09-18 00:00:00 UTC,16082.08007503,4571.83613006,35354.7011887699,5470.34325454,,7325.20975942998,,6850.54767301,,71940.81590656594
2018-09-19 00:00:00 UTC,29878.4944854701,7542.25952320996,36506.80288555,9228.70287358001,,11970.1625529401,,9835.76647158999,,72975.54605525048
2018-09-20 00:00:00 UTC,16649.05385788,5976.66283766998,38763.5651950397,6510.86312723,,7742.75138710998,,8117.11493601999,,32992.478977860264
